"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000900269,0.000808716,0.00088501,0.301886797,0,0.056603774,0,0,0,0,0,0,"",""
0.125,0.040100098,0.122299194,0.112442017,0.728259504,0.558951974,0.399875224,51.72024155,140.9407959,148.1451416,3629,3854,3668,"",""
0.25,0.081039429,0.238632202,0.222244263,0.736108422,0.566980004,0.406228006,106.1145782,278.9558105,297.0453186,3658,3879,3689,"",""
0.375,0.121246338,0.344528198,0.326416016,0.73710084,0.580495179,0.416537493,159.8482666,412.3462219,440.5343933,3669,4015,3702,"",""
0.5,0.159042358,0.392440796,0.429000854,0.7072981,0.61468178,0.457910508,210.7190857,497.3511353,583.8661499,3679,4840,3712,"",""
0.625,0.198104858,0.416442871,0.527084351,0.691228211,0.603839934,0.501099229,263.729187,518.4608154,722.7305908,3685,5521,3722,"",""
0.75,0.23677063,0.416275024,0.650024414,0.691250324,0.603973448,0.501118004,316.7078247,518.366394,881.6350098,3693,5521,3805,"",""
0.875,0.272872925,0.415786743,0.770065308,0.691144645,0.604022145,0.501266122,366.2887878,517.8001099,1036.953003,3697,5525,3870,"",""
1.0,0.310531616,0.41506958,0.862838745,0.691125631,0.604257047,0.501323462,418.5123901,517.1080322,1182.738647,3703,5527,4171,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","method","native"
