"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000869751,0.000808716,0.000854492,0.301886797,0,0,0,0,0,0,0,0,"",""
0.125,0.041473389,0.000793457,0.041244507,0.326923072,0,0,53.6393013,0,50.08432007,3616,0,3760,"",""
0.25,0.084197998,0.0909729,0.084014893,0.727105021,0.554679632,0.396511227,110.1414566,104.0382233,103.0944214,3640,3816,3742,"",""
0.375,0.125976563,0.135665894,0.126022339,0.731188834,0.56079179,0.398717791,166.0773468,156.8595581,155.6326141,3653,3830,3738,"",""
0.5,0.164901733,0.179595947,0.167419434,0.733984709,0.563381493,0.403483421,218.6155396,208.6112671,207.9506073,3662,3857,3743,"",""
0.625,0.205490112,0.222900391,0.208786011,0.736651123,0.566744268,0.4046413,273.7963867,260.4573364,261.2752991,3669,3861,3755,"",""
0.75,0.245910645,0.264953613,0.248840332,0.739806473,0.568590164,0.406357974,328.9143066,310.6045837,312.4292603,3674,3858,3757,"",""
0.875,0.283355713,0.306549072,0.286956787,0.742210031,0.570283711,0.40801394,380.5401611,360.4372253,361.0035095,3681,3860,3758,"",""
1.0,0.322219849,0.348999023,0.327072144,0.74418503,0.572534084,0.410152137,434.7457275,411.968689,412.7237549,3689,3872,3773,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","method","python"
