"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.062911987,0.062652588,0.062789917,0.218217239,0.141743794,0.06502679,18.27825928,18.30971909,18.27825928,2402,2418,2418,"",""
0.0625,0.103866577,0.126037598,0.120117188,0.480266333,0.358474582,0.237651333,73.33325958,93.15306091,95.51255798,3268,3493,3359,"",""
0.125,0.146194458,0.189056396,0.179244995,0.569814384,0.43147701,0.297659397,130.4646149,168.1851654,175.232193,3440,3671,3498,"",""
0.1875,0.188995361,0.250045776,0.238296509,0.613901258,0.468114972,0.32574603,187.6903534,241.3296661,254.6057739,3509,3733,3557,"",""
0.25,0.231826782,0.311645508,0.296630859,0.640912652,0.489962786,0.344300836,245.1048584,314.8202209,333.0040894,3548,3776,3585,"",""
0.3125,0.273849487,0.371643066,0.350891113,0.65975529,0.505542755,0.355846614,301.6384888,387.3669739,407.6272278,3570,3794,3602,"",""
0.375,0.314666748,0.423187256,0.406677246,0.667736351,0.522463381,0.369979084,357.4799805,455.8554077,484.2323303,3589,3933,3618,"",""
0.4375,0.355331421,0.453109741,0.461212158,0.657113969,0.548341453,0.391277999,412.7866516,512.2631836,560.2396851,3602,4361,3632,"",""
0.5,0.395477295,0.474075317,0.515350342,0.650004804,0.558788478,0.411310315,468.3135681,546.177063,635.9953613,3614,4701,3642,"",""
0.5625,0.434875488,0.4868927,0.56817627,0.645178497,0.557585657,0.432761908,523.0854492,559.7363281,710.9645386,3625,5010,3652,"",""
0.625,0.473876953,0.499008179,0.617584229,0.640094161,0.556340396,0.453322321,578.0775146,572.3832397,782.5045776,3634,5350,3660,"",""
0.6875,0.51222229,0.498779297,0.681930542,0.640296161,0.55662626,0.453469157,632.0313721,572.4146729,866.9117432,3641,5350,3706,"",""
0.75,0.550048828,0.498397827,0.746398926,0.640755594,0.556838036,0.453632563,685.9538574,572.194458,950.343689,3648,5347,3752,"",""
0.8125,0.587295532,0.497619629,0.809295654,0.640776396,0.557402194,0.454004675,739.4672852,571.8798828,1034.121704,3657,5355,3791,"",""
0.875,0.624420166,0.497207642,0.870681763,0.640693545,0.557096839,0.454104662,792.9492798,571.0933838,1115.854736,3665,5356,3830,"",""
0.9375,0.634017944,0.496459961,0.93170166,0.641166687,0.557351828,0.454542667,807.4208984,570.4956665,1199.286621,3669,5357,3884,"",""
1.0,0.634048462,0.495910645,0.96762085,0.641076922,0.558092296,0.454769224,807.4838257,570.62146,1270.103149,3669,5365,4124,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.032418925801451
"","","","","","","","","","","","","","method","native"
