"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.064163208,0.065216064,0.065460205,0.220168456,0.140617684,0.064342536,18.43556023,18.90745926,18.93891907,2368,2367,2361,"",""
0.0625,0.103683472,0.113265991,0.106735229,0.42961067,0.311599076,0.201401055,73.0186615,72.76698303,73.96246338,3261,3298,3253,"",""
0.125,0.148864746,0.157043457,0.150970459,0.523804903,0.392635047,0.266420513,130.8735962,127.1298599,131.8803253,3418,3573,3407,"",""
0.1875,0.191040039,0.200927734,0.190612793,0.577232659,0.436740577,0.300349325,188.2881012,180.9264526,188.0364227,3504,3658,3509,"",""
0.25,0.234054565,0.245513916,0.234359741,0.608949661,0.463704169,0.322747052,245.1677856,234.723053,245.2936249,3533,3726,3533,"",""
0.3125,0.278701782,0.289779663,0.274307251,0.629877329,0.482070446,0.336106569,302.991272,288.0162964,301.0092773,3559,3759,3567,"",""
0.375,0.318374634,0.331863403,0.316253662,0.64908731,0.497080326,0.349395365,358.518158,340.1140747,357.7316589,3579,3787,3583,"",""
0.4375,0.354888916,0.376037598,0.35295105,0.660079539,0.506533027,0.357693553,412.629364,392.7151794,412.4091492,3600,3812,3608,"",""
0.5,0.392593384,0.414398193,0.392532349,0.67203033,0.518705368,0.36700052,467.4641418,443.1770325,467.5899658,3617,3851,3619,"",""
0.5625,0.431533813,0.436767578,0.431991577,0.663464248,0.538534105,0.383140028,522.1416016,484.9559021,522.6449585,3629,4171,3630,"",""
0.625,0.47114563,0.457931519,0.47102356,0.656792521,0.556429327,0.397154391,577.2595215,525.3505249,577.2595215,3637,4463,3638,"",""
0.6875,0.508377075,0.468902588,0.510726929,0.653986335,0.562935233,0.414611131,630.7730103,544.2265625,631.4022217,3644,4713,3642,"",""
0.75,0.545730591,0.478607178,0.547073364,0.649046719,0.560925841,0.428872019,684.6010742,553.5072632,684.9471436,3655,4929,3652,"",""
0.8125,0.581237793,0.484436035,0.580718994,0.648229837,0.562366128,0.446705312,737.7055664,561.6868286,737.2022095,3664,5175,3665,"",""
0.875,0.619018555,0.492385864,0.617004395,0.644581497,0.561281741,0.457807809,791.187561,569.8035278,790.0549927,3671,5373,3671,"",""
0.9375,0.627120972,0.49055481,0.657913208,0.6459921,0.562536955,0.459205568,805.2816162,568.9541016,842.7189941,3675,5379,3688,"",""
1.0,0.627883911,0.490341187,0.693939209,0.646491349,0.562719762,0.459467858,805.3759766,568.8911743,890.1607056,3673,5377,3701,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.032418925801451
"","","","","","","","","","","","","","method","python"
