"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.999984741,0.999984741,0.999984741,0.786495745,0.710994124,0.431052119,1465.501221,1465.878662,1465.343872,4278,4279,4279,"",""
0.0625,0.999984741,0.999984741,0.999984741,0.786190569,0.710811019,0.431021601,1465.375366,1465.501221,1464.934937,4279,4280,4279,"",""
0.125,0.999984741,0.999984741,0.999984741,0.785824358,0.710368514,0.43077746,1464.085449,1464.588867,1464.17981,4278,4279,4280,"",""
0.1875,0.999984741,0.999984741,0.999984741,0.785641253,0.710078597,0.43077746,1463.73938,1463.991089,1464.305664,4280,4279,4280,"",""
0.25,0.999984741,0.999984741,0.999984741,0.78530556,0.709987044,0.430594325,1463.64502,1463.802368,1463.29895,4281,4280,4281,"",""
0.3125,0.999984741,0.999984741,0.999984741,0.785030901,0.709681869,0.430624843,1463.20459,1463.173096,1463.456299,4282,4281,4281,"",""
0.375,0.999984741,0.999984741,0.999984741,0.784710467,0.709437728,0.430563807,1463.141724,1462.6698,1463.20459,4281,4282,4284,"",""
0.4375,0.999984741,0.999984741,0.999984741,0.784512103,0.709452987,0.430518031,1462.6698,1462.701294,1462.732666,4284,4284,4284,"",""
0.5,0.999984741,0.999984741,0.999984741,0.784344256,0.70928514,0.43041122,1461.725952,1462.355225,1461.914795,4283,4283,4283,"",""
0.5625,0.999984741,0.999984741,0.999984741,0.784237444,0.709254622,0.430289149,1461.631592,1462.292236,1462.22937,4281,4283,4286,"",""
0.625,0.999984741,0.999984741,0.999984741,0.784145892,0.708979905,0.430426478,1462.166382,1461.725952,1461.851807,4286,4284,4285,"",""
0.6875,0.999984741,0.999984741,0.999984741,0.783932269,0.708979905,0.430380702,1461.725952,1461.725952,1461.442871,4285,4285,4287,"",""
0.75,0.999984741,0.999984741,0.999984741,0.783718646,0.709132552,0.430319667,1461.159668,1462.040527,1460.624878,4286,4287,4285,"",""
0.8125,0.999984741,0.999984741,0.999984741,0.783245623,0.708522141,0.430136561,1460.152954,1460.782227,1460.719238,4286,4287,4287,"",""
0.875,0.999984741,0.999984741,0.999984741,0.782726765,0.708186448,0.429953456,1460.719238,1460.090088,1459.649658,4288,4288,4288,"",""
0.9375,0.999984741,0.999984741,0.999984741,0.782558918,0.707927048,0.429800868,1459.397949,1459.555298,1459.838379,4287,4287,4288,"",""
1.0,0.999984741,0.999984741,0.999984741,0.782192707,0.707728684,0.429739833,1459.303589,1459.14624,1458.768799,4288,4289,4288,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.032418925801451
"","","","","","","","","","","","","","method","native"
