"label","req_r","req_g","req_b","req_w","rgb_r","rgb_g","rgb_b","lux","parameter","value"
"white",0,0,0,0.5,0.71220839,0.630379081,0.296677977,1006.499756,"",""
"red",0.5,0,0,0,0.835492432,0.445643932,0.225568175,370.1268921,"",""
"green",0,0.5,0,0,0.780605257,0.605226934,0.189133421,304.5328064,"",""
"blue",0,0,0.5,0,0.445577055,0.508996367,1.007320285,234.0623932,"",""
"rgb",0.5,0.5,0.5,0,0.64937377,0.588193834,0.613646269,551.0848389,"",""
"triangle",1.0,0.0,0,0,0.784674048,0.516895652,0.402840436,630.8988647,"",""
"triangle",0.9,0.1,0,0,0.965537727,0.316846848,0.158876464,319.0358582,"",""
"triangle",0.8,0.2,0,0,0.945066333,0.358373702,0.164046288,358.5496216,"",""
"triangle",0.7,0.30000000000000004,0,0,0.918736517,0.411639839,0.170605749,408.7597656,"",""
"triangle",0.6,0.4,0,0,0.847775877,0.552471459,0.18801862,534.1278687,"",""
"triangle",0.5,0.5,0,0,0.824790657,0.596650779,0.193498611,571.659668,"",""
"triangle",0.3999999999999999,0.6000000000000001,0,0,0.751388073,0.737340271,0.21101746,693.5357056,"",""
"triangle",0.29999999999999993,0.7000000000000001,0,0,0.713763595,0.80791229,0.219804391,751.0445557,"",""
"triangle",0.19999999999999996,0.8,0,0,0.681979299,0.866889298,0.227133319,800.27948,"",""
"triangle",0.09999999999999998,0.9,0,0,0.605763257,1.005860329,0.244573131,912.5602417,"",""
"triangle",0.0,1.0,0,0,0.572978973,1.066752434,0.252226233,964.7838135,"",""
"triangle",0,1.0,0.0,0,0.554262638,1.100825667,0.256523699,994.041626,"",""
"triangle",0,0.9,0.1,0,0.544761419,1.044199228,0.338170201,934.9912109,"",""
"triangle",0,0.8,0.2,0,0.540750623,1.018994689,0.37373808,911.3647461,"",""
"triangle",0,0.7,0.30000000000000004,0,0.534111321,0.977012277,0.432711631,871.7880859,"",""
"triangle",0,0.6,0.4,0,0.517286777,0.872803569,0.578679681,771.9654541,"",""
"triangle",0,0.5,0.5,0,0.510034263,0.83034569,0.63715899,731.5393677,"",""
"triangle",0,0.3999999999999999,0.6000000000000001,0,0.49600029,0.74280411,0.754446089,654.367981,"",""
"triangle",0,0.29999999999999993,0.7000000000000001,0,0.488405377,0.69796735,0.814521909,613.5958252,"",""
"triangle",0,0.19999999999999996,0.8,0,0.481377304,0.657420576,0.869142592,580.8460083,"",""
"triangle",0,0.09999999999999998,0.9,0,0.464792728,0.559473395,0.997011185,494.6770325,"",""
"triangle",0,0.0,1.0,0,0.457370669,0.517753363,1.057795882,459.6620483,"",""
"triangle",0.0,0,1.0,0,0.454426438,0.501804531,1.081346035,446.1657104,"",""
"triangle",0.1,0,0.9,0,0.467536598,0.495756418,1.060294271,421.8471375,"",""
"triangle",0.2,0,0.8,0,0.566346824,0.445810676,0.900176644,404.9216614,"",""
"triangle",0.30000000000000004,0,0.7,0,0.606463373,0.42599079,0.834707081,390.2298279,"",""
"triangle",0.4,0,0.6,0,0.64531213,0.407351792,0.77006042,375.4750977,"",""
"triangle",0.5,0,0.5,0,0.741001666,0.36714524,0.610751271,345.9341736,"",""
"triangle",0.6000000000000001,0,0.3999999999999999,0,0.769794405,0.354177713,0.562102139,336.0557251,"",""
"triangle",0.7000000000000001,0,0.29999999999999993,0,0.859754503,0.31149596,0.404221833,305.0046997,"",""
"triangle",0.8,0,0.19999999999999996,0,0.896178305,0.294367224,0.34049964,292.4836121,"",""
"triangle",0.9,0,0.09999999999999998,0,0.925745964,0.280215651,0.287518799,281.2524109,"",""
"triangle",1.0,0,0.0,0,0.995677471,0.24641563,0.160756141,254.6687012,"",""
"","","","","","","","","","measurement","leds"
