"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","parameter","value"
2000.0,24.44442,2057,0.020249,0.011856,0.004837,0.025742,47.75628,2101,0.039292,0.023163,0.009888,0.049653,118.9503,2125,0.096574,0.057694,0.024247,0.120714,236.4219,2128,0.191882,0.114672,0.048325,0.237125,"",""
2625.0,30.64204,2794,0.022507,0.014862,0.009018,0.030549,61.75598,2881,0.044144,0.029953,0.017975,0.05977,152.6125,2913,0.108171,0.074022,0.044404,0.144793,302.8025,2928,0.214435,0.146868,0.088731,0.283757,"",""
3250.0,35.14082,3292,0.024033,0.017044,0.011521,0.033753,71.2569,3441,0.047379,0.034562,0.023499,0.066514,176.0816,3495,0.116136,0.085405,0.058381,0.161471,347.7903,3486,0.229664,0.168688,0.11519,0.314717,"",""
3875.0,39.54522,3800,0.025528,0.019181,0.014023,0.036912,78.3354,3893,0.04976,0.037995,0.027771,0.071656,195.2093,3950,0.12256,0.094682,0.068956,0.174716,383.9693,3938,0.241535,0.186236,0.135607,0.338857,"",""
4500.0,42.87998,4096,0.026505,0.020798,0.015366,0.038972,84.56448,4231,0.051835,0.041016,0.030961,0.075822,209.9011,4301,0.127459,0.101808,0.076982,0.184863,415.681,4317,0.252064,0.201617,0.152712,0.359915,"",""
5125.0,45.01926,4344,0.027283,0.021836,0.016632,0.040604,90.4475,4564,0.053849,0.04387,0.034134,0.080095,223.775,4627,0.132036,0.108537,0.084382,0.194263,439.4333,4614,0.259907,0.213138,0.165881,0.375753,"",""
5750.0,47.6619,4714,0.028244,0.023117,0.018418,0.042664,94.38,4774,0.055085,0.045777,0.036057,0.082643,235.6669,4900,0.135973,0.114305,0.090623,0.202167,463.9406,4893,0.267643,0.225025,0.178119,0.391196,"",""
6375.0,50.11578,4985,0.028992,0.024292,0.019654,0.04419,98.9417,5042,0.056565,0.04799,0.038499,0.08571,244.3498,5099,0.138582,0.118517,0.094896,0.207568,483.8863,5132,0.273762,0.234699,0.188312,0.403449,"",""
7000.0,48.63716,5107,0.028138,0.02359,0.019471,0.043091,96.55074,5236,0.05507,0.04683,0.038666,0.084016,240.1971,5332,0.135637,0.116503,0.096269,0.204715,474.1966,5451,0.265873,0.229999,0.191516,0.396002,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",0.45
