"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","parameter","value"
2000.0,"","","","","","","","","","","","",200.2114,2014,0.178241,0.097108,0.048997,0.218555,"","","","","","","",""
2833.333333333333,"","","","","","","","","","","","",201.8788,2155,0.171664,0.097917,0.050797,0.213565,"","","","","","","",""
3666.6666666666665,"","","","","","","","","","","","",214.0224,2774,0.155688,0.103807,0.060624,0.204959,"","","","","","","",""
4500.0,"","","","","","","","","","","","",225.7255,3503,0.146365,0.109483,0.072572,0.203037,"","","","","","","",""
5333.333333333333,"","","","","","","","","","","","",235.9815,4238,0.142077,0.114458,0.08397,0.205325,"","","","","","","",""
6166.666666666667,"","","","","","","","","","","","",243.9094,4912,0.140291,0.118303,0.093553,0.20856,"","","","","","","",""
7000.0,"","","","","","","","","","","","",253.1586,5611,0.139849,0.122789,0.10248,0.212955,"","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",0.45
"","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct",True
