"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.001694,0.001694,0.001694,0.001114,0.000229,0.000198,0.44044,0.4719,0.44044,608,657,608,"",""
0.125,0.054444,0.056199,0.053986,0.036881,0.031113,0.025162,62.88854,64.14694,62.07058,3381,5040,4073,"",""
0.25,0.108232,0.107759,0.104921,0.071138,0.060716,0.049104,127.1928,125.1793,122.8513,3429,5141,4146,"",""
0.375,0.159197,0.161929,0.156008,0.107378,0.091905,0.074479,188.7285,189.4836,183.9466,3448,5178,4173,"",""
0.5,0.20914,0.210498,0.205509,0.140078,0.120226,0.097398,249.3834,247.8733,244.4127,3459,5200,4176,"",""
0.625,0.260578,0.262379,0.256275,0.175341,0.150958,0.12224,312.209,311.2338,306.0114,3465,5225,4195,"",""
0.75,0.310735,0.311772,0.304295,0.20914,0.180346,0.146044,374.3425,371.8257,365.1248,3477,5239,4204,"",""
0.875,0.358434,0.360296,0.351171,0.242725,0.209628,0.169787,433.5817,432.2919,422.7595,3482,5256,4202,"",""
1.0,0.40502,0.40972,0.395148,0.276905,0.239506,0.194003,491.94,493.7962,478.2234,3488,5268,4217,"",""
"","","","","","","","","","","","","","measurement","rgbw_lux"
"","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","w_gamma",0.45
"","","","","","","","","","","","","","rgb_gamma",0.45
"","","","","","","","","","","","","","rgb_temperature",""
"","","","","","","","","","","","","","r_factor",1
"","","","","","","","","","","","","","g_factor",1
"","","","","","","","","","","","","","b_factor",1
"","","","","","","","","","","","","","w_factor",0.7692307692307692
