"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
2000.0,86.60938263,2048,0.248981327,0.145684496,0.058633644,0.288345337,85.35098267,2033,0.247303218,0.145199195,0.05537755,0.285736084,124.2040787,2073,0.320387423,0.188367769,0.077627748,0.31980896,123.1029816,2075,0.316098869,0.188551053,0.073386982,0.316665649,232.8983765,2170,0.45418489,0.274408787,0.118207425,0.411651611,234.0309448,2163,0.45199281,0.278135061,0.110184699,0.408111572,400.7689514,2302,0.566042483,0.358159006,0.156011015,0.542724609,402.216095,2274,0.567452073,0.364255399,0.144534037,0.535568237,"",""
2312.5,90.19582367,2297,0.261404485,0.161067411,0.076573037,0.271606445,86.54646301,2273,0.251265347,0.160044208,0.065390654,0.262283325,132.1005402,2398,0.339391798,0.211408719,0.108599335,0.303070068,129.1432953,2347,0.323135376,0.21071814,0.087315843,0.29725647,255.675415,2609,0.470878184,0.305779219,0.168899089,0.405548096,252.5294189,2521,0.465075642,0.318746775,0.137195721,0.384262085,446.7634583,2881,0.585716307,0.404875278,0.231988594,0.535202026,448.5252075,2663,0.586023092,0.41986689,0.181617394,0.518127441,"",""
2625.0,88.74865723,2565,0.286565781,0.184777632,0.100347154,0.232955933,86.8610611,2528,0.270292044,0.185364217,0.080228262,0.227279663,135.5926056,2722,0.367359459,0.240151554,0.142196462,0.273849487,134.4915009,2684,0.342806101,0.246426105,0.107735761,0.264709473,271.53125,3029,0.497229248,0.341553211,0.217384428,0.385498047,270.4616089,2853,0.472117126,0.353553206,0.159442335,0.371032715,484.4525452,3398,0.579352796,0.425175339,0.280385435,0.552642822,495.9039917,2988,0.564243615,0.438007116,0.198982999,0.549133301,"",""
2937.5,94.34854126,2649,0.277048975,0.180466965,0.102118187,0.253570557,92.83846283,2584,0.256971985,0.18008177,0.077073291,0.250045776,146.886734,2927,0.354494393,0.238457605,0.150306433,0.29876709,141.4441528,2812,0.326083452,0.24204576,0.108102284,0.283432007,292.4521484,3341,0.48185879,0.343114465,0.235005349,0.413406372,292.1690063,3087,0.450553268,0.358059913,0.164321244,0.395767212,522.8651733,3827,0.563899398,0.43171075,0.307652354,0.587432861,537.4311523,3247,0.545734763,0.450050056,0.209152222,0.579193115,"",""
3250.0,98.62709808,2744,0.271614075,0.178551093,0.10587766,0.267913818,99.72820282,2709,0.247062832,0.179919407,0.077359669,0.268844604,157.1427002,3060,0.340040058,0.232639372,0.151925847,0.32762146,154.562973,2975,0.304881573,0.23652032,0.106537648,0.316955566,310.5416565,3692,0.450833559,0.334474117,0.241562754,0.450317383,315.1977539,3276,0.422819734,0.350768477,0.163673282,0.435836792,557.1251221,4193,0.539766729,0.425002396,0.320389748,0.635803223,575.1831665,3462,0.519506276,0.447750598,0.212671131,0.623062134,"",""
3562.5,105.4539185,2811,0.262243211,0.173895001,0.105571695,0.294128418,105.3595428,2779,0.238173172,0.176821545,0.076610349,0.289001465,163.1201019,3161,0.332787693,0.229394332,0.154979423,0.344894409,161.5156403,3106,0.295250803,0.236035123,0.108086981,0.331893921,330.6760559,3828,0.450250894,0.335954219,0.250934899,0.477401733,328.1592712,3453,0.408267081,0.351401418,0.166588068,0.452941895,585.4391479,4540,0.529748738,0.428147435,0.335611075,0.663208008,604.9758301,3653,0.50648737,0.454470247,0.217781767,0.645645142,"",""
3600.0,107.3729782,2807,0.259433478,0.172635302,0.103641883,0.30166626,106.0516586,2770,0.237271354,0.175673559,0.076085255,0.292800903,165.3852234,3222,0.333392113,0.231888533,0.157811195,0.346054077,163.1201019,3104,0.301188529,0.241668612,0.109345138,0.327377319,329.2918091,3892,0.457660437,0.342876792,0.259180397,0.465805054,330.172699,3507,0.417685568,0.363513559,0.173010975,0.440536499,586.2570801,4630,0.538070679,0.438336521,0.34584716,0.648696899,612.243042,3708,0.517315269,0.468668729,0.225917548,0.633605957,"",""
3875.0,107.5302811,2996,0.269792676,0.183585778,0.117252119,0.284088135,103.7865372,2883,0.245235428,0.184921518,0.083856501,0.272216797,166.8323822,3412,0.345023572,0.245032802,0.173690051,0.330230713,164.252655,3247,0.308074474,0.251832902,0.119766541,0.316345215,339.5163269,4140,0.461942762,0.354521871,0.275220931,0.464492798,338.8556519,3669,0.422606885,0.372892499,0.187259823,0.440750122,604.0005493,4953,0.537272811,0.446831286,0.36341843,0.65562439,629.6090088,3901,0.517819524,0.473916024,0.244429186,0.644363403,"",""
4187.5,109.5437164,3061,0.270889193,0.18674247,0.11997211,0.284515381,105.9258194,2950,0.246867523,0.187503487,0.087932281,0.274002075,171.0480194,3546,0.347201705,0.251062065,0.180827484,0.330444336,169.2862549,3411,0.314002633,0.261353135,0.13118656,0.314163208,348.6082458,4396,0.467294961,0.36514318,0.292582452,0.463058472,350.0554199,3911,0.431803912,0.387943655,0.208841786,0.437652588,622.5933838,5331,0.543465555,0.463086456,0.386919379,0.652084351,649.8062744,4147,0.528464973,0.491797417,0.270125479,0.640853882,"",""
4500.0,106.743782,3213,0.283043057,0.197646648,0.133162469,0.261947632,105.5168381,3201,0.260616809,0.205238044,0.104210012,0.249359131,171.1738586,3830,0.369968176,0.274811864,0.207030654,0.302108765,168.2166138,3676,0.337198019,0.288341254,0.155683786,0.282958984,353.0441284,4724,0.490558743,0.39386493,0.323740005,0.434753418,356.850769,4140,0.456754953,0.419613779,0.235757619,0.412475586,638.9840698,5787,0.555307686,0.487249613,0.416624695,0.636062622,668.3048096,4382,0.540081263,0.51061219,0.294522017,0.634811401,"",""
