"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.162902832,0.162750244,0.163024902,0.17513594,0.108756796,0.043783985,36.52505875,36.49359894,36.58797836,2206,2196,2203,"",""
0.0625,0.188064575,0.193725586,0.189071655,0.268824816,0.183994964,0.112240076,71.03668213,73.49056244,69.93557739,2828,2941,2839,"",""
0.125,0.214996338,0.224731445,0.217941284,0.336773485,0.236488327,0.159763709,107.215683,109.5751801,106.5550232,3126,3245,3193,"",""
0.1875,0.241668701,0.254989624,0.245574951,0.386152834,0.276285082,0.196218058,143.6148987,145.250824,141.4127045,3293,3454,3342,"",""
0.25,0.268661499,0.284408569,0.274215698,0.423681527,0.308546603,0.224743813,179.4163818,180.9264526,178.032135,3398,3615,3495,"",""
0.3125,0.295394897,0.314163208,0.302246094,0.453397453,0.335470408,0.248967901,215.3122406,217.29422,212.8583527,3476,3759,3566,"",""
0.375,0.323562622,0.343643188,0.330596924,0.474890113,0.354158342,0.267261654,251.3339386,250.9249573,248.3137817,3533,3859,3664,"",""
0.4375,0.349990845,0.371154785,0.358642578,0.494285494,0.373334974,0.283053786,287.0725098,285.6882629,282.5108032,3573,3952,3712,"",""
0.5,0.3828125,0.403274536,0.391967773,0.506224215,0.386053205,0.296076268,324.3211365,320.9863892,318.4066467,3599,4053,3762,"",""
0.5625,0.409439087,0.431747437,0.420623779,0.516098261,0.397349358,0.307368785,358.392334,353.7047729,354.5227356,3638,4147,3820,"",""
0.625,0.430496216,0.460006714,0.437973022,0.525757134,0.408697397,0.316913784,392.6522522,387.6186523,387.4928284,3648,4220,3866,"",""
0.6875,0.452102661,0.47479248,0.460891724,0.543418169,0.427914888,0.334265321,426.9436646,418.8898926,420.9348145,3683,4339,3931,"",""
0.75,0.476211548,0.496520996,0.484313965,0.550614655,0.43838352,0.345513225,461.0462952,448.776886,453.4329834,3714,4456,3973,"",""
0.8125,0.500518799,0.51940918,0.508682251,0.558960021,0.44841364,0.355229139,496.5331726,480.2054443,487.40979,3717,4535,4001,"",""
0.875,0.524902344,0.541488647,0.533294678,0.565446496,0.458111435,0.362865269,530.572876,511.4452209,520.8517456,3749,4607,4031,"",""
0.9375,0.549316406,0.564117432,0.557281494,0.570760071,0.467703551,0.372139573,566.3114624,543.9748535,553.9161987,3752,4716,4076,"",""
1.0,0.574996948,0.585784912,0.579925537,0.575801015,0.476009369,0.379291475,603.6859131,574.9000244,586.1627197,3775,4793,4119,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","r_factor",1.0
"","","","","","","","","","","","","","g_factor",0.7660232812730132
"","","","","","","","","","","","","","b_factor",0.5735660698896949
"","","","","","","","","","","","","","w_factor",1.0
