"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
2000.0,104.4786606,2346,0.330025464,0.216817915,0.087288633,0.233718872,102.4652176,2324,0.326963484,0.213882327,0.084778041,0.23236084,158.0235748,2321,0.418762565,0.272855669,0.109348685,0.280899048,153.5562592,2301,0.41143769,0.268659174,0.10375385,0.27722168,314.316864,2321,0.563124955,0.365930498,0.148188844,0.416610718,311.1708679,2304,0.557938457,0.366999358,0.138213798,0.411239624,568.6709595,2320,0.673387587,0.436481297,0.178325653,0.631912231,566.5946045,2315,0.667523921,0.441129655,0.165993094,0.622970581,"",""
2312.5,113.9795837,2630,0.333312154,0.230148643,0.108308986,0.240203857,107.1212997,2539,0.317557842,0.222578108,0.090534709,0.233428955,173.879425,2659,0.420763314,0.289356589,0.141510919,0.29145813,167.0840607,2581,0.403678149,0.286430806,0.117193401,0.282928467,351.250885,2716,0.558984101,0.385798216,0.196302697,0.441589355,346.7206726,2651,0.54171145,0.394593626,0.159505904,0.426177979,644.8356323,2765,0.661305547,0.459780157,0.238492593,0.680236816,637.1908569,2685,0.643140614,0.472870737,0.192216098,0.653564453,"",""
2625.0,118.7614975,2816,0.335400999,0.236528829,0.122744359,0.243530273,113.4762192,2713,0.316641927,0.232754722,0.097502746,0.236465454,185.3937836,2922,0.421587557,0.299471498,0.164600059,0.300262451,181.8702545,2845,0.398619086,0.304696143,0.128182158,0.289505005,381.8929443,3056,0.55785495,0.402580172,0.231718242,0.460098267,381.1693726,2948,0.532854021,0.418789536,0.177560404,0.441452026,704.1062622,3131,0.653927147,0.475999057,0.280290931,0.717453003,700.6456299,3008,0.629798353,0.502300501,0.21446614,0.676544189,"",""
2937.5,123.1344376,2970,0.342186421,0.246333942,0.135124922,0.242446899,124.1097031,2900,0.323080808,0.249667749,0.106828682,0.241104126,197.7890167,3170,0.425195277,0.312801629,0.183690727,0.306686401,194.2025757,3032,0.39969945,0.319894284,0.1379489,0.294448853,409.2002258,3343,0.555569768,0.415997684,0.25653246,0.477096558,413.2900085,3203,0.525213718,0.438718945,0.191123426,0.45690918,755.9523315,3449,0.648305237,0.490047723,0.310702771,0.748199463,761.0488892,3275,0.614610076,0.521593809,0.229026064,0.707687378,"",""
3250.0,126.7523422,3122,0.341352731,0.250466257,0.14403829,0.245452881,127.6017609,3025,0.322028518,0.257115692,0.110998414,0.240707397,206.2832184,3368,0.427882493,0.322671115,0.198218599,0.310073853,205.5596466,3241,0.398010463,0.335042566,0.146856725,0.297576904,432.4176941,3614,0.555102646,0.427660227,0.279278159,0.49041748,439.1501465,3401,0.520274639,0.454276234,0.201282218,0.46887207,800.5626221,3729,0.643668234,0.500777304,0.334842086,0.775375366,811.3533936,3494,0.603892565,0.536844313,0.240736887,0.733032227,"",""
3562.5,131.4084167,3261,0.343030751,0.256367773,0.152458116,0.24861145,128.8601532,3120,0.317855567,0.260179132,0.112748526,0.240219116,212.0404053,3516,0.429037601,0.328268081,0.208893433,0.313293457,212.3235474,3371,0.395698816,0.343128771,0.151761651,0.300125122,453.8104858,3847,0.554554284,0.437678248,0.296710968,0.50289917,457.4284058,3576,0.515059173,0.46636945,0.209641725,0.475723267,839.3213501,3979,0.640522778,0.510485649,0.354655385,0.797454834,853.7929688,3681,0.596974373,0.550352871,0.251237035,0.752441406,"",""
3600.0,130.9679871,3278,0.345361799,0.259005785,0.154109374,0.245254517,134.0196075,3170,0.327381343,0.27069962,0.11838343,0.240127563,214.2425995,3580,0.43420729,0.334989429,0.215209797,0.310195923,216.7279358,3407,0.409402609,0.357870132,0.158649355,0.293731689,451.8599854,3888,0.564248443,0.446444124,0.305451959,0.490905762,459.1586914,3613,0.526047647,0.479704201,0.216565326,0.464248657,841.649353,4012,0.644400835,0.5148471,0.359736741,0.792892456,860.2107544,3701,0.599760234,0.555548787,0.253504813,0.75100708,"",""
3875.0,134.8061066,3437,0.349893749,0.267779022,0.16454193,0.244171143,134.5544128,3236,0.330197722,0.273692966,0.124592051,0.238449097,219.4964142,3736,0.436291754,0.340607315,0.226859987,0.312561035,221.3840179,3481,0.407251298,0.357335091,0.164271563,0.300491333,470.6101379,4059,0.558041751,0.449286669,0.314071178,0.508041382,474.9830933,3743,0.520068526,0.479043067,0.226258844,0.480911255,871.9768066,4205,0.640592456,0.520301878,0.373186171,0.812850952,888.5877075,3866,0.597816825,0.560583532,0.270020843,0.768814087,"",""
4187.5,138.0779419,3532,0.352223188,0.273321718,0.170070991,0.245025635,137.920639,3340,0.332396358,0.28007412,0.130773649,0.238845825,227.2984924,3853,0.439413011,0.349912822,0.233775675,0.315063477,228.4939728,3646,0.408746302,0.364663363,0.176432192,0.303909302,487.3468628,4243,0.558187544,0.456975132,0.326646805,0.51725769,492.4433899,3933,0.520361841,0.486601591,0.243067652,0.490844727,904.7896118,4409,0.638413489,0.528093994,0.386944532,0.830993652,922.3128052,4066,0.597223282,0.569262147,0.288854361,0.785827637,"",""
4500.0,138.7700653,3614,0.353367031,0.275291771,0.175809771,0.244491577,141.8531342,3472,0.335426986,0.286067754,0.140210629,0.240509033,231.7658234,4018,0.440204054,0.354540646,0.244621977,0.317062378,232.9613037,3811,0.418602258,0.379685163,0.191816643,0.297592163,497.5398865,4416,0.560311854,0.4652839,0.339393944,0.51864624,504.7756958,4092,0.522714674,0.495185494,0.257113755,0.494415283,931.5620728,4603,0.637736201,0.535412729,0.400560528,0.843887329,949.9976196,4245,0.596970141,0.576873124,0.304913461,0.798736572,"",""
4812.5,138.3296204,3741,0.357432306,0.282819837,0.183893993,0.237228394,141.3183136,3569,0.343163729,0.295701414,0.148969784,0.231796265,235.44664,4128,0.445456296,0.362526655,0.253681451,0.315002441,239.0016174,3882,0.41375038,0.376573801,0.194953904,0.307830811,515.6608887,4567,0.557660341,0.469736904,0.346821815,0.532440186,519.3102417,4225,0.522384465,0.498987347,0.267857671,0.504776001,960.5681763,4777,0.63518995,0.54074204,0.410643756,0.861587524,975.8262939,4393,0.594706118,0.579007328,0.31735453,0.817428589,"",""
5125.0,147.4215546,3866,0.359627485,0.289009511,0.190637723,0.247406006,146.1946259,3630,0.338513047,0.293538004,0.150337949,0.24156189,245.0419464,4286,0.442697793,0.366592944,0.259942591,0.324203491,245.1677856,3998,0.413730681,0.381336868,0.201751813,0.311828613,529.5032349,4733,0.556809545,0.474875152,0.356375039,0.540817261,531.7683716,4348,0.521833479,0.502452374,0.277072608,0.513320923,985.1699219,4938,0.632781267,0.54481715,0.419604033,0.877044678,1001.654968,4529,0.593844593,0.583976805,0.327947021,0.831924438,"",""
5437.5,147.3901062,3948,0.360862553,0.29113844,0.195935875,0.245544434,148.3024445,3703,0.34023875,0.297732592,0.154803261,0.241592407,248.3452454,4390,0.443839729,0.370366901,0.266256928,0.32522583,248.4081573,4108,0.417468578,0.387666941,0.210771799,0.310791016,539.4446411,4881,0.559484005,0.48191449,0.366909295,0.542922974,543.4714966,4507,0.523788452,0.509857714,0.289711356,0.516998291,1008.82782,5087,0.632125318,0.550241947,0.428446412,0.889251709,1024.117432,4680,0.594328701,0.589835107,0.340405881,0.842132568,"",""
5750.0,148.1451416,3984,0.361130208,0.294367701,0.196599364,0.244094849,148.7114258,3787,0.340893239,0.299461514,0.160342097,0.240859985,250.6418152,4473,0.446153134,0.374670804,0.271961987,0.324462891,253.3473816,4199,0.415423125,0.387648016,0.215750456,0.316986084,549.826416,4973,0.555338383,0.481168449,0.369500577,0.554229736,555.6779785,4594,0.520873666,0.510299623,0.294080257,0.528152466,1029.654297,5218,0.629603326,0.553144395,0.434568763,0.90284729,1044.251831,4799,0.591800034,0.59092772,0.348400414,0.85710144,"",""
