"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
2000.0,81.51286316,2343,0.293326557,0.188354179,0.082145974,0.209899902,80.69490051,2322,0.291259289,0.187144309,0.079162411,0.209136963,114.4514771,2305,0.3638919,0.232415512,0.098319814,0.238845825,111.2110977,2278,0.358089328,0.228492022,0.093335919,0.236068726,208.4854126,2277,0.49325344,0.312653333,0.130826578,0.323425293,205.9057007,2251,0.487743348,0.311533153,0.121900141,0.320571899,364.4641113,2267,0.608922601,0.385126829,0.160333768,0.458999634,360.2484741,2256,0.600921452,0.385088772,0.149818406,0.453735352,"",""
2312.5,87.55317688,2552,0.296010196,0.197222024,0.096024379,0.215316772,83.55776215,2477,0.2845276,0.191852063,0.082996242,0.211242676,124.1097031,2569,0.36515674,0.243458405,0.120217234,0.247253418,120.3974228,2512,0.352555215,0.2414511,0.103091486,0.241851807,231.5141449,2636,0.49229455,0.330637544,0.169879138,0.339614868,226.3232422,2558,0.475649714,0.33208698,0.13982366,0.330551147,409.5777283,2666,0.601352394,0.405690074,0.211243033,0.4896698,400.8633118,2587,0.581657648,0.410608411,0.172080427,0.473510742,"",""
2625.0,91.32837677,2696,0.298283726,0.203362525,0.105359018,0.217819214,87.80486298,2608,0.285152614,0.199513897,0.088069201,0.2134552,131.1567383,2782,0.367870331,0.252162337,0.137724549,0.25227356,127.7590637,2714,0.348355055,0.252079457,0.111111112,0.245819092,250.2642975,2929,0.492722869,0.344581127,0.197955474,0.352264404,245.6711426,2808,0.468356699,0.349755913,0.152774662,0.340682983,446.9836731,3003,0.596520901,0.421765059,0.247009233,0.514022827,437.5142212,2877,0.567439258,0.431505799,0.189766973,0.491775513,"",""
2937.5,95.10357666,2821,0.301118612,0.210032657,0.112763152,0.219619751,93.0901413,2741,0.287904352,0.208087206,0.094444446,0.21697998,139.0217438,2979,0.370084345,0.262504458,0.150350481,0.256866455,134.9004822,2864,0.348705113,0.261910588,0.118189596,0.249816895,266.969574,3178,0.492806047,0.357004642,0.218090028,0.362701416,264.5471497,3040,0.464134842,0.366229683,0.165498018,0.350357056,479.0414124,3292,0.593389332,0.435007423,0.273997247,0.534118652,473.2842407,3112,0.558509231,0.450351745,0.202215239,0.509719849,"",""
3250.0,96.26760101,2896,0.301223129,0.211457402,0.117683642,0.220809937,95.54402161,2829,0.287606895,0.212883785,0.097364366,0.217681885,144.2126465,3145,0.371985227,0.268998295,0.162138373,0.260025024,141.4127045,3027,0.34727931,0.271765411,0.124365173,0.252380371,282.1647339,3408,0.494209915,0.368306518,0.236325562,0.371582031,280.6546631,3209,0.462125093,0.380069882,0.173440695,0.358154297,507.7958679,3549,0.590885162,0.446908653,0.295096487,0.551101685,503.1397705,3318,0.551588714,0.465345681,0.213541672,0.524414063,"",""
3562.5,98.6900177,3017,0.30369556,0.215883285,0.125868827,0.221725464,96.36197662,2911,0.285311729,0.215780199,0.0992603,0.216598511,147.9563751,3274,0.37357831,0.27430737,0.170720324,0.261611938,144.9047546,3152,0.345982671,0.277664185,0.129961506,0.253723145,295.0633545,3621,0.49460721,0.377454937,0.251810998,0.379150391,289.998291,3359,0.456677318,0.388093621,0.179479629,0.362426758,531.7054443,3769,0.589036286,0.455724537,0.312382042,0.565887451,523.5888062,3477,0.545369267,0.473256171,0.223021582,0.536605835,"",""
3600.0,98.91024017,3029,0.303496301,0.21681264,0.12585339,0.2212677,99.88549805,2931,0.290023685,0.221192703,0.100947469,0.219024658,149.7181396,3312,0.374310106,0.276477069,0.17300877,0.262649536,148.6170349,3145,0.349809438,0.281324446,0.130359694,0.256225586,295.9442139,3632,0.494343698,0.377366811,0.252687752,0.380371094,292.861145,3384,0.457061499,0.389775157,0.181426123,0.364425659,533.8762207,3794,0.588737011,0.45660013,0.314184994,0.567108154,527.6156616,3496,0.544952869,0.474601686,0.224155977,0.539199829,"",""
3875.0,101.898941,3140,0.305031449,0.221424669,0.131938741,0.223205566,100.325943,2974,0.290459305,0.221596837,0.104509763,0.219589233,153.6820984,3415,0.376280934,0.281231999,0.179907888,0.265045166,151.5428162,3212,0.351485729,0.285130829,0.135136738,0.257781982,305.7282715,3783,0.49456802,0.383913398,0.262750357,0.386245728,301.1665649,3510,0.458223134,0.395578504,0.192355365,0.369262695,552.7521973,3965,0.587340891,0.462989807,0.326701611,0.579055786,548.8511353,3665,0.543883026,0.484086692,0.237881184,0.549911499,"",""
4187.5,104.0382233,3209,0.306105793,0.22510381,0.135116741,0.22416687,102.8112793,3041,0.292904109,0.226237446,0.108480446,0.220413208,158.4325562,3515,0.377525389,0.28741011,0.184739187,0.267364502,156.9539337,3345,0.353372008,0.292318523,0.143376112,0.260421753,316.3302917,3960,0.494711876,0.390971303,0.274243712,0.392425537,311.2023315,3663,0.459361792,0.40159142,0.205220848,0.375854492,572.6034546,4147,0.585700274,0.469970047,0.338850439,0.590942383,568.8911743,3838,0.543597937,0.490439653,0.253722429,0.562606812,"",""
4500.0,104.5730362,3243,0.306840569,0.225799873,0.137694448,0.224624634,105.2966232,3135,0.293806642,0.229813233,0.113773689,0.222229004,160.5403748,3626,0.377427936,0.288974464,0.191913471,0.269454956,159.0932159,3450,0.353436768,0.293823719,0.151124284,0.262619019,324.3211365,4079,0.496206731,0.397003889,0.282242835,0.396224976,321.2380676,3810,0.460774511,0.408914328,0.216451079,0.381027222,589.6862183,4307,0.58468169,0.475374073,0.349556178,0.601654053,586.8233643,3991,0.543463826,0.496314824,0.266822755,0.573471069,"",""
