"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.331878662,0.331329346,0.332626343,0.19429861,0.129271433,0.052730955,88.37113953,88.30821991,88.30821991,2389,2391,2397,"",""
0.0625,0.378005981,0.384643555,0.379760742,0.268446535,0.196167886,0.104688987,151.4799042,155.5697021,150.6304779,2848,2986,2888,"",""
0.125,0.428024292,0.437866211,0.428100586,0.327049077,0.246410653,0.144967943,220.7233582,222.4536591,214.3999023,3110,3276,3181,"",""
0.1875,0.480041504,0.492599487,0.481842041,0.371588767,0.28504166,0.176036924,290.6589355,289.4949341,283.3602295,3261,3459,3336,"",""
0.25,0.529129028,0.544998169,0.528411865,0.40784499,0.316739917,0.200968727,358.4237671,355.9069824,345.7768555,3364,3582,3468,"",""
0.3125,0.578323364,0.59854126,0.58102417,0.437796354,0.344032019,0.222072095,427.6357727,424.5527039,414.7371826,3445,3686,3533,"",""
0.375,0.625762939,0.635498047,0.624847412,0.472699761,0.373727441,0.245654047,495.8096008,489.6748962,476.8077698,3500,3767,3608,"",""
0.4375,0.663528442,0.697860718,0.663909912,0.485864222,0.386006355,0.255537331,552.940979,555.3948364,536.1098633,3542,3813,3650,"",""
0.5,0.702774048,0.739685059,0.707382202,0.508313417,0.405293345,0.272526622,619.258667,618.0946045,604.1264038,3586,3879,3715,"",""
0.5625,0.748016357,0.784286499,0.749694824,0.526333213,0.421097696,0.284927726,685.1673584,680.9202271,663.3970337,3617,3917,3756,"",""
0.625,0.789550781,0.832611084,0.786437988,0.541582644,0.436224014,0.295916885,749.7861938,748.8424072,733.427002,3643,3964,3787,"",""
0.6875,0.828292847,0.874130249,0.833145142,0.557002485,0.449281693,0.306718796,813.9960327,809.7174683,792.3201294,3670,3992,3820,"",""
0.75,0.863494873,0.913742065,0.866012573,0.571614623,0.461984217,0.316700906,877.3565063,870.3408813,853.7300415,3696,4017,3842,"",""
0.8125,0.900497437,0.948532104,0.890899658,0.587021232,0.475507945,0.32731688,938.7664185,929.9261475,909.508606,3707,4044,3881,"",""
0.875,0.8878479,0.964645386,0.893707275,0.607048512,0.493253618,0.341716886,980.1362915,981.0171509,954.6536865,3752,4084,3914,"",""
0.9375,0.953765869,0.989196777,0.963180542,0.625115693,0.510072827,0.355324864,1050.70105,1040.287842,1025.942017,3751,4129,3914,"",""
1.0,0.999984741,0.999984741,0.999984741,0.661676943,0.538628221,0.374807358,1116.200806,1110.506592,1088.264282,3750,4111,3930,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","w_temperature",3600.0
"","","","","","","","","","","","","","r_factor",1.0
"","","","","","","","","","","","","","g_factor",0.7660232812730132
"","","","","","","","","","","","","","b_factor",0.5735660698896949
"","","","","","","","","","","","","","w_factor",0.5555555555555556
