"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","parameter","value"
2000.0,117.2828827,2300,0.279722959,0.179299727,0.074259333,0.039657593,155.789917,2358,0.332983553,0.216509268,0.091990203,0.043624878,243.626236,2441,0.424180925,0.280661047,0.124093942,0.052627563,"","","","","","","",""
2312.5,126.5950394,2590,0.284043759,0.189739719,0.095058471,0.04045105,170.3873596,2731,0.336502552,0.23022072,0.11918506,0.044937134,268.0392151,2848,0.425632477,0.296080053,0.163191542,0.054885864,"","","","","","","",""
2625.0,133.1387177,2749,0.288217753,0.197240859,0.105518267,0.040924072,177.9377594,2917,0.338785052,0.235981315,0.135847792,0.045715332,284.9017639,3108,0.426872134,0.306028664,0.184374154,0.056442261,"","","","","","","",""
2937.5,136.410553,2859,0.287979364,0.199852511,0.111725666,0.041381836,185.4881592,3100,0.342339367,0.242833614,0.149258643,0.046310425,299.750885,3321,0.429329097,0.315831333,0.200212151,0.057540894,"","","","","","","",""
3250.0,141.4441528,3006,0.289262235,0.205259308,0.119430244,0.041778564,192.0318451,3233,0.342996746,0.248534203,0.156026065,0.046844482,310.8247986,3526,0.428124994,0.321614593,0.213281244,0.05859375,"","","","","","","",""
3562.5,144.464325,3061,0.291862577,0.207594931,0.124050632,0.042190552,197.3171234,3324,0.34318766,0.251928031,0.160668373,0.047485352,320.1369629,3659,0.429267049,0.325986683,0.222706303,0.059539795,"","","","","","","",""
3875.0,146.7294464,3181,0.291726619,0.209712237,0.130575538,0.042419434,203.1057587,3453,0.345234305,0.255339503,0.166719794,0.047866821,328.4424133,3796,0.430562586,0.330714643,0.231880382,0.060211182,"","","","","","","",""
4187.5,151.2596741,3244,0.294243842,0.214873075,0.133357167,0.042678833,205.6225586,3511,0.344729334,0.258626133,0.170940176,0.048202515,336.2444763,3890,0.431151241,0.335089028,0.237020314,0.060836792,"","","","","","","",""
4500.0,152.2664032,3309,0.292717576,0.214920074,0.13605684,0.042953491,210.1528015,3603,0.34591195,0.262578607,0.176415101,0.048522949,343.2915344,3995,0.43077305,0.339050472,0.242107883,0.061386108,"","","","","","","",""
4812.5,153.2731171,3314,0.294389218,0.216264203,0.13707386,0.04296875,212.1662445,3694,0.346286416,0.264180511,0.181134447,0.048690796,350.0868835,4142,0.430651516,0.343287259,0.25,0.061828613,"","","","","","","",""
5125.0,156.2932739,3407,0.295302004,0.219357118,0.141646057,0.043197632,217.1998444,3768,0.347542018,0.268512756,0.184505284,0.049041748,357.6372681,4219,0.432518333,0.347188264,0.255012214,0.062408447,"","","","","","","",""
5437.5,157.80336,3460,0.295734942,0.221008107,0.14416638,0.043289185,218.9615936,3819,0.348189414,0.269266486,0.187867537,0.049301147,360.4057617,4260,0.431630164,0.348418504,0.256204367,0.062713623,"","","","","","","",""
5750.0,160.3201599,3547,0.296880484,0.223273754,0.148965999,0.043533325,221.2267151,3856,0.348349273,0.271212578,0.189139158,0.049453735,364.6843262,4332,0.432615548,0.350592792,0.260827482,0.063064575,"","","","","","","",""
6062.5,160.3201599,3558,0.296075672,0.222845122,0.146110728,0.043548584,222.9884796,3936,0.348293871,0.273286194,0.195819244,0.049636841,369.717926,4395,0.43375811,0.353209913,0.264727086,0.063461304,"","","","","","","",""
6375.0,162.5852814,3582,0.297033161,0.225479931,0.149738222,0.043716431,226.2603149,4039,0.349327624,0.274755508,0.198960885,0.049926758,374.7515259,4470,0.433381081,0.35553965,0.267908305,0.063903809,"","","","","","","",""
6687.5,163.8436737,3650,0.297184557,0.226277366,0.153284669,0.043899536,227.770401,4044,0.348780483,0.274085373,0.19908537,0.050048828,375.0032043,4542,0.432761073,0.355269432,0.27181688,0.063995361,"","","","","","","",""
7000.0,160.5718384,3593,0.29518494,0.222609907,0.150383815,0.043731689,223.743515,4031,0.346638024,0.27295056,0.196806878,0.049697876,369.717926,4573,0.428777337,0.352870524,0.270718247,0.063522339,"","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","interval","None"
"","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",0.7
"","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
