"requested","rgb_lux_10","rgb_cct_10","rgb_r_10","rgb_g_10","rgb_b_10","rgb_w_10","rgbw_lux_10","rgbw_cct_10","rgbw_r_10","rgbw_g_10","rgbw_b_10","rgbw_w_10","rgb_lux_20","rgb_cct_20","rgb_r_20","rgb_g_20","rgb_b_20","rgb_w_20","rgbw_lux_20","rgbw_cct_20","rgbw_r_20","rgbw_g_20","rgbw_b_20","rgbw_w_20","rgb_lux_50","rgb_cct_50","rgb_r_50","rgb_g_50","rgb_b_50","rgb_w_50","rgbw_lux_50","rgbw_cct_50","rgbw_r_50","rgbw_g_50","rgbw_b_50","rgbw_w_50","rgb_lux_100","rgb_cct_100","rgb_r_100","rgb_g_100","rgb_b_100","rgb_w_100","rgbw_lux_100","rgbw_cct_100","rgbw_r_100","rgbw_g_100","rgbw_b_100","rgbw_w_100","parameter","value"
2000.0,66.00308228,2153,0.269411385,0.164214149,0.066530995,0.097473145,65.0592804,2136,0.267636836,0.163555831,0.063745648,0.096466064,93.12159729,2165,0.339016497,0.208538815,0.082992814,0.108291626,90.41603851,2148,0.333714783,0.20555,0.079101704,0.106674194,171.6457672,2186,0.474051028,0.292515546,0.118914865,0.142303467,170.4502869,2184,0.468678743,0.293779165,0.111497127,0.140548706,301.5126343,2195,0.59496969,0.367456496,0.150908679,0.198989868,299.0587463,2195,0.588276625,0.370980322,0.139790818,0.195495605,"",""
2625.0,72.48384094,2516,0.280012727,0.183176979,0.091111466,0.095962524,70.6591568,2466,0.268244892,0.183346942,0.074612245,0.093460083,104.8876419,2638,0.353313625,0.23455748,0.124806531,0.108444214,101.2382813,2604,0.334274262,0.239043236,0.097756647,0.102706909,203.0428467,2834,0.491709262,0.33653143,0.191573679,0.146316528,198.8271942,2773,0.467306405,0.352599859,0.144275829,0.136749268,365.5651855,2928,0.605797708,0.42001012,0.246295094,0.211074829,357.5114441,2847,0.572773218,0.442007005,0.18086347,0.196151733,"",""
3250.0,73.30180359,2810,0.29906708,0.205069527,0.114240453,0.086685181,71.6658783,2730,0.274884045,0.203175172,0.085087404,0.085540771,113.5706024,3040,0.364789724,0.257305771,0.154953673,0.107040405,113.0672379,2938,0.32896632,0.258710057,0.108551681,0.105987549,228.3366852,3280,0.479663134,0.347305954,0.223466367,0.159439087,225.1277618,3162,0.435584068,0.364395559,0.153274268,0.14982605,415.8382874,3429,0.578101814,0.426414609,0.282018185,0.236495972,410.9934387,3304,0.52842623,0.457903951,0.193901151,0.217666626,"",""
3875.0,81.54431915,2908,0.283950627,0.197530866,0.112940103,0.100112915,79.59380341,2791,0.26368314,0.197255582,0.084359892,0.097854614,123.826561,3214,0.354563117,0.254757285,0.161423951,0.117874146,120.7434769,3093,0.322154045,0.261622369,0.113565102,0.111923218,249.3519592,3635,0.477987409,0.361225039,0.246923715,0.167404175,247.8418732,3461,0.4341335,0.384367675,0.170667455,0.15637207,452.7094116,3843,0.575520515,0.443205625,0.314093888,0.247711182,451.7026672,3664,0.523495793,0.482621849,0.21821849,0.226974487,"",""
4500.0,83.1173172,3041,0.289440989,0.205124229,0.122204967,0.098266602,82.48812103,2986,0.269114614,0.208392948,0.095215388,0.095993042,129.1747589,3462,0.358497918,0.266761959,0.175675675,0.117431641,126.7837982,3311,0.324313462,0.26992631,0.12766242,0.11390686,264.1381531,3916,0.471950352,0.366829783,0.261534423,0.174621582,265.0819702,3739,0.427140743,0.387081951,0.189360529,0.16607666,484.2323303,4161,0.563585639,0.447103947,0.32992506,0.262649536,483.6660461,3983,0.51239568,0.482457787,0.242703825,0.243118286,"",""
5125.0,89.40931702,3162,0.280754387,0.203029007,0.123446204,0.106796265,86.89251709,3039,0.262393653,0.202552065,0.097095922,0.104034424,137.1026764,3602,0.350351691,0.264249325,0.179117143,0.125823975,133.0758057,3440,0.318960041,0.268230826,0.133544698,0.120315552,279.1760254,4154,0.469036222,0.372825801,0.273674488,0.181594849,277.2884521,3962,0.427357316,0.394256562,0.205135092,0.170562744,510.155365,4441,0.562193513,0.456968933,0.347179174,0.270736694,509.4632263,4242,0.513177931,0.492848009,0.263375729,0.250686646,"",""
5750.0,89.9756012,3196,0.283070296,0.205164999,0.126398847,0.10635376,88.65428162,3122,0.265714705,0.207419395,0.102311201,0.103652954,140.3115997,3716,0.353747278,0.270434141,0.186150864,0.125823975,137.6060333,3615,0.323477149,0.277538061,0.144543141,0.120239258,289.7466125,4388,0.472240746,0.383877963,0.288012683,0.183044434,288.2365112,4199,0.432866275,0.406261086,0.223572195,0.172058105,530.6043701,4703,0.564021349,0.468656212,0.364010215,0.27456665,529.1572266,4512,0.516779721,0.504892826,0.285465568,0.254165649,"",""
6375.0,91.48567963,3356,0.288167953,0.213446856,0.135496184,0.103942871,89.53515625,3263,0.269549489,0.214404091,0.110290796,0.101272583,143.8980408,3926,0.359739631,0.280889213,0.199213952,0.124237061,141.0037231,3806,0.32964772,0.288120329,0.157238364,0.118682861,298.9329224,4629,0.477216035,0.395060688,0.303924829,0.183502197,297.800354,4411,0.438195288,0.417888045,0.239360765,0.172821045,551.6196289,4942,0.565414906,0.479910225,0.377928615,0.278747559,547.0264893,4721,0.519071817,0.513344347,0.301428914,0.258422852,"",""
7000.0,89.84976196,3438,0.287267298,0.212658226,0.140134022,0.102462769,87.14420319,3313,0.265393436,0.211611912,0.111382738,0.099868774,141.4441528,4052,0.353224605,0.277736604,0.202001482,0.123504639,139.6824036,3906,0.324514329,0.283742338,0.161170751,0.119384766,294.5285339,4771,0.466998756,0.388625979,0.305271894,0.183792114,290.3128662,4554,0.425919414,0.405947566,0.242829487,0.173431396,541.4265747,5194,0.551705241,0.471068054,0.384135336,0.2787323,536.8963623,4933,0.506780684,0.503125012,0.309551895,0.258789063,"",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","interval","None"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cs_cct","False"
