"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.032287598,0.032302856,0.032318115,0.170524329,0.105337739,0.040151156,55.87295914,56.12464142,56.12464142,2173,2149,2149,"",""
0.0625,0.035354614,0.032318115,0.035064697,0.172332391,0.106232293,0.042020775,89.84976196,56.62799835,85.06784058,2564,2166,2627,"",""
0.125,0.038467407,0.038742065,0.038330078,0.261126429,0.191807792,0.118550614,123.5748825,122.568161,119.5479965,2778,3262,3030,"",""
0.1875,0.041778564,0.041992188,0.041625977,0.296875,0.225654066,0.151162788,160.5718384,156.2932739,154.0281525,2966,3611,3224,"",""
0.25,0.044784546,0.045272827,0.044418335,0.327940673,0.255813956,0.176272333,194.548645,191.025116,187.2499237,3079,3830,3442,"",""
0.3125,0.047622681,0.048492432,0.047592163,0.354625553,0.279106349,0.199811205,226.0086365,223.2401581,219.4649658,3133,4004,3536,"",""
0.375,0.050811768,0.051696777,0.05078125,0.377804011,0.302833527,0.219893739,261.9988708,258.2236938,254.1967926,3202,4167,3612,"",""
0.4375,0.053771973,0.054885864,0.053649902,0.397275507,0.320822895,0.238810122,296.7307129,290.4387207,286.1601563,3263,4320,3689,"",""
0.5,0.057037354,0.058013916,0.056716919,0.41478169,0.338769078,0.256443977,333.9793701,324.1638489,318.1235352,3318,4458,3737,"",""
0.5625,0.059936523,0.061096191,0.059799194,0.432817191,0.354895115,0.269480526,364.6843262,357.6372681,354.8688049,3359,4500,3818,"",""
0.625,0.062805176,0.064117432,0.062667847,0.446216077,0.368158013,0.283436447,396.899353,389.3489685,385.573761,3360,4608,3877,"",""
0.6875,0.065826416,0.067123413,0.065597534,0.461241186,0.381677657,0.29279381,432.6379089,422.5707092,416.278717,3387,4613,3912,"",""
0.75,0.068588257,0.070220947,0.068527222,0.471316814,0.393959135,0.302477181,462.5878296,456.2958374,449.7521667,3406,4692,3960,"",""
0.8125,0.071533203,0.073226929,0.071350098,0.483850807,0.403209001,0.313815385,497.0679932,487.0007935,481.4638367,3446,4735,3996,"",""
0.875,0.074432373,0.076141357,0.074234009,0.494789571,0.413026065,0.322244495,531.7998657,518.7124634,514.182251,3441,4761,4006,"",""
0.9375,0.077285767,0.079147339,0.077011108,0.502602637,0.422402173,0.330248713,563.7631836,551.4309082,545.8939209,3460,4824,4021,"",""
1.0,0.08013916,0.082168579,0.08013916,0.512720525,0.431754887,0.338161558,596.2299194,585.1560059,581.1291504,3465,4849,4042,"",""
"","","","","","","","","","","","","","measurement","rgbw_lux"
"","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",""
"","","","","","","","","","","","","","r_factor",1
"","","","","","","","","","","","","","g_factor",1
"","","","","","","","","","","","","","b_factor",1
"","","","","","","","","","","","","","w_factor",0.7142857142857143
