"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,1.5259e-05,3.0518e-05,1.5259e-05,0,0,0,0,0,0,65535,65535,65535,"",""
0.0625,0.003128052,0.002655029,0.002609253,0.712643683,0.563218415,0.390804589,33.2217598,24.66464043,26.42639923,3679,3973,3759,"",""
0.125,0.006225586,0.005310059,0.005554199,0.724137902,0.560344815,0.393678159,65.68847656,49.58095932,56.12464142,3650,3844,3776,"",""
0.1875,0.009521484,0.007965088,0.00843811,0.726053655,0.561302662,0.396551728,100.9236832,73.74224091,84.81616211,3660,3856,3739,"",""
0.25,0.012527466,0.010604858,0.011077881,0.732374072,0.562589943,0.397122294,132.6353607,98.40688324,111.4942398,3644,3817,3749,"",""
0.3125,0.015472412,0.013259888,0.01399231,0.733026445,0.565017283,0.397008061,163.8436737,123.5748825,140.6891174,3638,3822,3727,"",""
0.375,0.018768311,0.015853882,0.016784668,0.732435048,0.564966321,0.397497594,199.8339233,147.7361603,168.8772736,3655,3830,3734,"",""
0.4375,0.021728516,0.018447876,0.019348145,0.733664215,0.564929724,0.398676604,230.7905579,171.8974457,194.548645,3642,3830,3716,"",""
0.5,0.024887085,0.020996094,0.022216797,0.73473835,0.565406978,0.401162803,265.019043,195.8070374,222.9884796,3649,3843,3725,"",""
0.5625,0.027679443,0.023513794,0.024795532,0.736534715,0.566515267,0.402985066,296.227356,219.7166443,251.1766357,3659,3848,3735,"",""
0.625,0.030654907,0.026077271,0.027496338,0.737858415,0.568168521,0.403159738,328.4424133,244.3812866,278.6097717,3656,3847,3731,"",""
0.6875,0.0337677,0.028579712,0.030349731,0.740523219,0.569674313,0.405232251,363.1742249,268.542572,307.552948,3660,3849,3741,"",""
0.75,0.036682129,0.031066895,0.032943726,0.741650283,0.571218073,0.405206293,392.872467,292.7038269,335.4894409,3667,3847,3744,"",""
0.8125,0.039245605,0.033432007,0.035583496,0.742583275,0.571428597,0.406663626,423.8291321,315.103363,361.6641541,3669,3852,3741,"",""
0.875,0.042495728,0.035949707,0.038024902,0.743208826,0.572580636,0.407045841,458.8126526,339.5163269,387.8388672,3668,3855,3743,"",""
0.9375,0.045074463,0.038391113,0.040893555,0.744435608,0.57432431,0.408982515,488.0075073,363.6776123,417.0337524,3673,3869,3746,"",""
1.0,0.048202515,0.040924072,0.043640137,0.745712161,0.574198365,0.40976882,523.4943848,387.5871887,445.9769592,3675,3864,3754,"",""
"","","","","","","","","","","","","","measurement","rgbw_lux"
"","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",3600.0
"","","","","","","","","","","","","","r_factor",1.0
"","","","","","","","","","","","","","g_factor",0.7660232812730132
"","","","","","","","","","","","","","b_factor",0.5735660698896949
"","","","","","","","","","","","","","w_factor",0.7142857142857143
