"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,3.0518e-05,1.5259e-05,3.0518e-05,0,0,0,0,0,0,65535,65535,65535,"",""
0.0625,0.003112793,3.0518e-05,0.002655029,0,0,0,32.97008133,0,26.92975998,3629,65535,3975,"",""
0.125,0.006210327,0.005508423,0.005630493,0.717451513,0.567867041,0.40997231,65.68847656,51.34272003,56.37631989,3650,4067,3846,"",""
0.1875,0.009521484,0.008392334,0.008636475,0.714545429,0.565454543,0.416363627,100.6719971,78.2724762,87.33296204,3644,4137,3839,"",""
0.25,0.012512207,0.011154175,0.011291504,0.712722301,0.564979494,0.41586867,132.8870392,104.9505615,113.5076828,3639,4124,3830,"",""
0.3125,0.015518188,0.01373291,0.014282227,0.721111119,0.571111083,0.414444447,164.3470459,129.3635254,143.7092743,3633,4089,3834,"",""
0.375,0.018661499,0.016616821,0.01713562,0.720844805,0.570247948,0.417814523,198.5755157,156.2932739,172.9041595,3639,4116,3858,"",""
0.4375,0.021743774,0.019195557,0.019836426,0.72416532,0.571542144,0.417329103,231.797287,180.9579163,200.3372803,3644,4090,3846,"",""
0.5,0.024871826,0.021957397,0.022644043,0.724808872,0.571924925,0.4218207,265.5223999,207.1326447,229.2804871,3650,4125,3840,"",""
0.5625,0.02772522,0.024658203,0.025436401,0.725866318,0.572400987,0.422029704,296.7307129,232.8040009,257.7203064,3656,4119,3839,"",""
0.625,0.030654907,0.027236938,0.028106689,0.727170885,0.574229717,0.422408968,328.4424133,257.9719849,285.4051208,3656,4120,3839,"",""
0.6875,0.033798218,0.02986145,0.03086853,0.728155315,0.575881422,0.424629539,362.6708679,283.1400146,313.8449707,3659,4138,3856,"",""
0.75,0.036605835,0.032485962,0.033630371,0.729450464,0.577266335,0.425082207,393.8792114,309.3147278,342.788147,3663,4137,3864,"",""
0.8125,0.039398193,0.034957886,0.036117554,0.731121778,0.578350067,0.425141871,424.8358459,333.4760132,369.717926,3661,4128,3863,"",""
0.875,0.042572021,0.037628174,0.038970947,0.731954575,0.579480946,0.427412808,458.8126526,359.6507263,399.4161682,3666,4146,3866,"",""
0.9375,0.045196533,0.040054321,0.041732788,0.733714283,0.58019048,0.427428573,489.7692871,383.3086548,427.6043091,3670,4137,3857,"",""
1.0,0.048110962,0.04258728,0.0443573,0.73486203,0.580795407,0.428520232,522.7393799,407.9732666,455.2891235,3678,4136,3870,"",""
"","","","","","","","","","","","","","measurement","rgbw_lux"
"","","","","","","","","","","","","","interval",""
"","","","","","","","","","","","","","w_gamma",1
"","","","","","","","","","","","","","rgb_gamma",1
"","","","","","","","","","","","","","rgb_temperature",4000.0
"","","","","","","","","","","","","","r_factor",1.0
"","","","","","","","","","","","","","g_factor",0.8071224775607361
"","","","","","","","","","","","","","b_factor",0.6512994196827054
"","","","","","","","","","","","","","w_factor",0.7142857142857143
