"requested","rgb_lux_10","rgb_cct_10","rgb_lux_20","rgb_cct_20","rgb_lux_50","rgb_cct_50","rgb_lux_100","rgb_cct_100","parameter","value"
2000.0,27.14998,2302,31.49146,2180,59.9313,1748,176.1445,1503,"",""
2500.0,27.18144,2320,31.55438,2189,67.19856,1963,213.7078,1821,"",""
3000.0,28.50276,2412,32.93862,2314,75.59838,2221,254.7316,2197,"",""
3500.0,28.28254,2409,35.26666,2487,84.65886,2523,295.7869,2585,"",""
4000.0,28.7859,2478,35.45542,2529,92.90138,2811,336.0557,2985,"",""
4500.0,28.66006,2480,36.14754,2559,102.3394,3111,375.4122,3372,"",""
5000.0,28.59714,2488,36.4936,2659,111.3369,3408,414.6113,3751,"",""
5500.0,28.59714,2490,38.34974,2775,118.8244,3695,449.9409,4122,"",""
6000.0,28.43984,2485,39.92274,2899,126.6894,3952,483.8863,4471,"",""
6500.0,28.21962,2476,40.36318,2975,134.3657,4223,518.0518,4826,"",""
7000.0,28.1567,2484,38.79018,3023,127.9478,4450,489.5805,5320,"",""
"","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","interval",""
"","","","","","","","","","rgb_gamma",1
