"requested","rgb_lux_10","rgb_cct_10","rgb_lux_20","rgb_cct_20","rgb_lux_50","rgb_cct_50","rgb_lux_100","rgb_cct_100","parameter","value"
2000.0,51.64159,2278,75.20513,2232,144.6688,2181,266.3561,2150,"",""
2500.0,56.69092,2618,85.36671,2661,153.9967,2711,321.0965,2742,"",""
3000.0,59.1448,2842,93.82945,3001,194.8318,3138,356.2688,3191,"",""
3500.0,63.09303,3080,100.1529,3275,211.3955,3472,393.8949,3562,"",""
4000.0,64.72895,3202,105.7371,3518,224.939,3760,421.8629,3881,"",""
4500.0,67.23002,3384,109.4336,3712,236.7208,4022,445.8197,4148,"",""
5000.0,127.6804,3840,113.3976,3927,246.6936,4235,464.8215,4374,"",""
5500.0,69.3693,3678,106.9955,4023,256.1473,4434,481.5425,4572,"",""
6000.0,71.63442,3808,119.9413,4257,260.4731,4619,497.8388,4756,"",""
6500.0,72.18497,3940,122.3951,4391,271.9874,4795,513.0025,4926,"",""
7000.0,70.51759,3990,119.2649,4465,266.0415,4916,503.8162,5190,"",""
"","","","","","","","","","measurement","rgb_cct"
"","","","","","","","","","interval",""
"","","","","","","","","","rgb_gamma",0.45
