requested,w_lux,rgb_lux,rgbw_lux,w_cct,rgb_cct,rgbw_cct,parameter,value
0.0,12.04918,11.89188,11.67166,2006,2007,1973,,
0.0625,11.7975,11.7975,11.7975,1971,1975,2000,,
0.125,11.7975,11.7975,11.67166,1982,1971,1956,,
0.1875,11.73458,11.67166,11.70312,1965,1995,1960,,
0.25,11.6402,11.67166,11.67166,1961,1963,1963,,
0.3125,16.8311,15.66708,20.85798,2313,2389,2638,,
0.375,22.24222,19.56812,29.66678,2537,2773,2986,,
0.4375,32.49818,27.71626,47.3473,2837,3272,3417,,
0.5,53.51346,43.7294,83.14878,3110,3881,3760,,
0.5625,90.00706,71.4142,145.2823,3318,4456,3999,,
0.625,141.1296,111.3999,233.6534,3428,4847,4137,,
0.6875,218.6785,170.4188,364.3697,3507,5116,4219,,
0.75,330.3929,256.6507,552.2488,3563,5301,4288,,
0.8125,480.0481,371.7628,804.4008,3600,5431,4331,,
0.875,680.9517,526.2629,1140.425,3626,5523,4370,,
0.9375,931.4991,722.7935,1556.358,3645,5592,4420,,
1.0,1249.686,975.4173,2061.731,3660,5651,5216,,
,,,,,,,interval,
,,,,,,,w_gamma,2.2
,,,,,,,rgb_gamma,2.2
