"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000473022,0.000488281,0.000488281,0.4375,0,0,0,0,0,0,0,0,"",""
0.125,0.116455078,0.000488281,0.103393555,0.46875,0,0,141.2554016,0,119.2019424,3394,0,2866,"",""
0.25,0.230697632,0.217391968,0.20300293,0.777216256,0.543763578,0.327858508,282.9197693,243.7206268,236.4848175,3407,3009,2880,"",""
0.375,0.33833313,0.313598633,0.2996521,0.776712716,0.555420399,0.337144792,419.0157471,359.1159058,352.1317749,3418,3111,2888,"",""
0.5,0.44480896,0.360839844,0.396072388,0.744122148,0.607450962,0.366669476,555.3004761,451.9229126,469.2258911,3428,3709,2902,"",""
0.625,0.546112061,0.385696411,0.486709595,0.728409231,0.618348718,0.397199035,687.3066406,491.7197876,581.286438,3436,4096,2909,"",""
0.75,0.564056396,0.401580811,0.575653076,0.717645705,0.615282297,0.428376019,710.6813965,509.4317932,692.5289917,3438,4443,2918,"",""
0.875,0.563720703,0.416824341,0.664108276,0.708606362,0.611890018,0.456528902,710.5241089,525.8538818,804.9041138,3439,4798,2928,"",""
1.0,0.563476563,0.427429199,0.752182007,0.702591717,0.610059977,0.474725127,710.1780396,537.6199341,917.3735962,3439,5063,2934,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",2800.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.8
"","","","","","","","","","","","","","method","python"
"","","","","","","","","","","","","","w_temperature",3600.0
