"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.025253296,0.025161743,0.025299072,0.22498484,0.162522748,0.079442084,17.05131912,16.86256027,17.05131912,2869,2825,2850,"",""
0.125,0.048828125,0.025039673,0.097213745,0.224862888,0.163315058,0.079219989,78.33540344,16.86256027,196.4991608,3382,2834,3019,"",""
0.25,0.073440552,0.15171814,0.167190552,0.689932644,0.48767978,0.302926689,143.3946838,305.0990906,371.416748,3471,3105,3022,"",""
0.375,0.097930908,0.207199097,0.234832764,0.714117408,0.514397204,0.323661536,207.6989136,439.4961853,544.0692139,3516,3211,3034,"",""
0.5,0.121383667,0.233978271,0.2993927,0.690165639,0.563910246,0.35587582,268.3537903,544.0692139,713.5757446,3535,3830,3050,"",""
0.625,0.144210815,0.247741699,0.362594604,0.680032015,0.575511217,0.387780249,330.7704468,587.9244995,882.2012939,3548,4237,3060,"",""
0.75,0.167114258,0.256851196,0.422058105,0.672013283,0.573872745,0.41899839,392.6837158,607.8071899,1045.03833,3557,4615,3071,"",""
0.875,0.188873291,0.26574707,0.485168457,0.664618731,0.571371138,0.44688791,451.0734863,626.1169434,1243.110474,3566,5009,3379,"",""
1.0,0.211135864,0.271438599,0.543319702,0.660351932,0.571083248,0.465624839,512.7979736,639.2042847,1435.142334,3575,5308,4198,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",160
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",2800.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","method","native"
"","","","","","","","","","","","","","w_temperature",3600.0
