"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000473022,0.000473022,0.000473022,0.483870953,0,0,0,0,0,0,0,0,"",""
0.125,0.08366394,0.112976074,0.104721069,0.685980558,0.590221524,0.45529443,100.8292999,137.4801941,132.7297363,3384,4941,4637,"",""
0.25,0.167312622,0.223129272,0.208572388,0.693359792,0.597825348,0.461601585,203.7664185,275.0233154,267.6931458,3399,4963,4645,"",""
0.375,0.248077393,0.328155518,0.310043335,0.699246705,0.602762043,0.465962976,304.6271667,407.815979,401.1779175,3410,4967,4669,"",""
0.5,0.327087402,0.427322388,0.407119751,0.703481495,0.608855546,0.473094076,404.1036987,536.4244385,531.2650146,3419,5028,4678,"",""
0.625,0.404174805,0.427871704,0.501815796,0.702792346,0.609536052,0.474626452,502.7622681,537.7142944,659.8106079,3424,5057,4687,"",""
0.75,0.479949951,0.427825928,0.594406128,0.702582181,0.609636903,0.474641562,600.6343384,537.7457886,787.3179321,3430,5060,4706,"",""
0.875,0.553466797,0.42741394,0.684082031,0.702581108,0.609938979,0.474849164,696.5558472,537.4940796,911.8995361,3437,5064,4715,"",""
1.0,0.563278198,0.426803589,0.774841309,0.702477574,0.609524131,0.474670202,709.517395,536.3615112,1035.631714,3438,5061,4756,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",6500.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.032418925801451
"","","","","","","","","","","","","","method","python"
"","","","","","","","","","","","","","w_temperature",3600.0
