"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000640869,0.000686646,0.000686646,0.400000006,0,0,0,0,0,0,0,0,"",""
0.125,0.093200684,0.101333618,0.093170166,0.74250865,0.547056139,0.368769765,110.83358,114.2941818,110.7706604,3289,3469,3291,"",""
0.25,0.184432983,0.198150635,0.184204102,0.749576449,0.554212213,0.374326199,222.0761414,226.4176178,221.8873749,3308,3492,3308,"",""
0.375,0.270706177,0.286590576,0.271087646,0.74906826,0.566553056,0.382600367,328.9772339,334.6400146,329.1659851,3320,3606,3320,"",""
0.5,0.357055664,0.32699585,0.356994629,0.720345318,0.602099836,0.418898731,436.6962585,405.9283752,436.7591858,3328,4275,3328,"",""
0.625,0.43888855,0.34602356,0.438781738,0.706574917,0.59756583,0.459981471,540.451355,426.3144531,540.3255005,3335,4794,3337,"",""
0.75,0.453475952,0.345733643,0.523635864,0.706681967,0.597537279,0.459969997,559.0756836,425.9369507,643.7344971,3338,4792,3366,"",""
0.875,0.453216553,0.345352173,0.603530884,0.70644635,0.597667098,0.459992051,558.4464722,425.5594177,744.5638428,3337,4796,3410,"",""
1.0,0.452819824,0.344863892,0.682525635,0.706207693,0.597805381,0.459979653,558.1318359,425.0560608,843.190918,3337,4799,3433,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.8
"","","","","","","","","","","","","","method","python"
