"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.000640869,0.00062561,0.00062561,0.414634138,0,0,0,0,0,0,0,0,"",""
0.125,0.092468262,0.00062561,0.092437744,0.463414639,0,0,109.8897781,0,109.9526978,3293,0,3294,"",""
0.25,0.182846069,0.196075439,0.183319092,0.747937739,0.555097282,0.37478599,220.157074,224.4041748,220.3773041,3311,3510,3311,"",""
0.375,0.26953125,0.283737183,0.269622803,0.747674108,0.567410588,0.383059949,326.8379517,331.9344482,326.9637756,3323,3624,3322,"",""
0.5,0.354980469,0.324066162,0.354949951,0.719229698,0.603022873,0.419295609,433.8019409,402.9082336,433.7390137,3332,4292,3331,"",""
0.625,0.436569214,0.343322754,0.436309814,0.705066681,0.598444462,0.460222214,536.7390747,423.6088867,536.802002,3339,4817,3340,"",""
0.75,0.45098877,0.342773438,0.520370483,0.705528855,0.598780274,0.46047008,555.2375488,423.168457,639.6447144,3340,4816,3372,"",""
0.875,0.450820923,0.342590332,0.600036621,0.70528239,0.598743975,0.460404426,555.1116943,422.9167786,740.2852783,3341,4818,3417,"",""
1.0,0.450546265,0.342163086,0.678070068,0.705092728,0.598867297,0.460533351,554.8285522,422.4763489,837.8742065,3341,4822,3442,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",320
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","maxlevel",2.8
"","","","","","","","","","","","","","method","python"
