"requested","w_white","rgb_white","rgbw_white","rgb_r","rgb_g","rgb_b","w_lux","rgb_lux","rgbw_lux","w_cct","rgb_cct","rgbw_cct","parameter","value"
0.0,0.026504517,0.026504517,0.026489258,0.204951063,0.153713301,0.073114567,16.67379951,16.79964066,16.42211914,2896,2923,2841,"",""
0.125,0.05027771,0.052505493,0.050247192,0.467015415,0.353095025,0.235687301,77.70619965,76.44779968,77.8949585,3416,3575,3385,"",""
0.25,0.074874878,0.078308105,0.074615479,0.560015559,0.423031956,0.290140301,143.1430054,136.5993195,142.6396332,3492,3642,3484,"",""
0.375,0.099136353,0.103607178,0.098358154,0.606921971,0.460382909,0.31826216,207.6989136,196.6879272,207.8247528,3526,3686,3526,"",""
0.5,0.114089966,0.125442505,0.11038208,0.649556041,0.493613929,0.346794784,264.5786133,255.329361,262.5022278,3561,3742,3573,"",""
0.625,0.132125854,0.14163208,0.132080078,0.698017657,0.533505738,0.377181649,325.359314,311.579834,325.6739197,3587,3793,3587,"",""
0.75,0.155532837,0.164886475,0.155548096,0.710808814,0.542568922,0.385248929,388.7826843,368.8999634,388.9085083,3592,3799,3594,"",""
0.875,0.177368164,0.188903809,0.177398682,0.718174458,0.54765749,0.38974151,447.6758118,426.5975952,447.9274902,3596,3800,3594,"",""
1.0,0.199905396,0.213363647,0.20010376,0.724022031,0.552599609,0.393835366,509.2115479,486.1828308,509.4003296,3601,3810,3601,"",""
"","","","","","","","","","","","","","measurement","lux"
"","","","","","","","","","","","","","interval",160
"","","","","","","","","","","","","","gamma",1
"","","","","","","","","","","","","","temperature",3600.0
"","","","","","","","","","","","","","w_brightness",1.8
"","","","","","","","","","","","","","method","python"
